# name: US-counties-internet
# source: https://raw.githubusercontent.com/eepsmedia/eeps-data-zoo/main/cages/US-counties-internet.csv
# importDate: 2026-01-29T15:54:27.920Z
# description: internet access in US Counties, probably 2023 
# attribute -- name: NAME, description: county or region name, type: categorical, editable: true
# attribute -- name: population, type: numeric, editable: true
# attribute -- name: median_income, type: numeric, editable: true
# attribute -- name: with_internet, description: percent of households with internet, type: numeric, editable: true
# attribute -- name: type, description: urban or rural...note that "mostly urban" means that most of the _people_ live in cities, editable: true
NAME,population,median_income,with_internet,type
"Martin, Florida",157581,57959,87.227746,Mostly Urban
"Miami-Dade, Florida",2715516,48982,79.5344181,Mostly Urban
"Monroe, Florida",76325,67023,88.0285327,Mostly Urban
"Nassau, Florida",80578,66297,88.284626,Mostly Urban
"Okaloosa, Florida",200737,62048,88.0288878,Mostly Urban
"Okeechobee, Florida",40572,40367,66.4437823,Mostly Urban
"Orange, Florida",1321194,54335,88.2236221,Mostly Urban
"Osceola, Florida",338619,50063,81.2834063,Mostly Urban
"Palm Beach, Florida",1446277,59943,86.6129409,Mostly Urban
"Pasco, Florida",510593,50417,84.5171588,Mostly Urban
"Pinellas, Florida",957875,51454,84.6517218,Mostly Urban
"Polk, Florida",668671,48500,79.9584883,Mostly Urban
"Putnam, Florida",72766,35649,73.4609397,Mostly Rural
"St. Johns, Florida",235503,77323,90.9502944,Mostly Urban
"St. Lucie, Florida",305591,49373,85.8972996,Mostly Urban
"Santa Rosa, Florida",170442,66242,90.431168,Mostly Urban
"Sarasota, Florida",412144,58644,87.8887406,Mostly Urban
"Seminole, Florida",455086,63760,91.7019318,Mostly Urban
"Sumter, Florida",120999,55228,88.3007541,Mostly Urban
"Suwannee, Florida",43924,42686,78.8569913,Mostly Rural
"Taylor, Florida",22098,36934,72.2131593,Mostly Rural
"Union, Florida",15239,41770,67.7800617,Mostly Rural
"Volusia, Florida",527634,46760,81.6738268,Mostly Urban
"Wakulla, Florida",31877,62778,81.7311167,Mostly Rural
"Walton, Florida",65858,53785,84.9235775,Mostly Rural
"Washington, Florida",24566,37188,76.544083,Mostly Rural
"Appling, Georgia",18454,39561,66.2226878,Mostly Rural
"Atkinson, Georgia",8265,34877,61.4721724,Rural
"Bacon, Georgia",11228,36964,67.6500252,Mostly Rural
"Baker, Georgia",3189,37188,51.6245487,Rural
"Baldwin, Georgia",45286,39426,75.6233718,Mostly Urban
"Banks, Georgia",18510,45373,68.5748902,Mostly Rural
"Barrow, Georgia",76887,57348,84.5254552,Mostly Urban
"Bartow, Georgia",103620,55452,84.2092581,Mostly Urban
"Ben Hill, Georgia",17154,32705,64.0889024,Mostly Urban
"Berrien, Georgia",19025,37163,65.2827096,Mostly Rural
"Bibb, Georgia",153490,39931,75.3059817,Mostly Urban
"Bleckley, Georgia",12775,45029,69.4337812,Mostly Rural
"Brantley, Georgia",18561,37031,73.308958,Mostly Rural
"Brooks, Georgia",15622,34322,73.3543307,Mostly Rural
"Bryan, Georgia",35885,71322,87.8284267,Mostly Rural
"Bulloch, Georgia",74782,41789,80.2040438,Mostly Urban
"Burke, Georgia",22550,42773,69.1593353,Mostly Rural
"Butts, Georgia",23750,41845,73.3235258,Mostly Rural
"Calhoun, Georgia",6428,31725,61.7916892,Rural
"Camden, Georgia",52714,56397,87.0336834,Mostly Urban
"Candler, Georgia",10827,32937,61.8411097,Mostly Rural
"Carroll, Georgia",116022,49608,83.8104496,Mostly Urban
"Catoosa, Georgia",66299,55125,84.0558532,Mostly Urban
"Charlton, Georgia",12983,40283,69.5420062,Mostly Rural
"Chatham, Georgia",287049,54911,86.7888415,Mostly Urban
"Chattahoochee, Georgia",10767,46453,80.8235294,Mostly Urban
"Chattooga, Georgia",24817,36107,71.070565,Mostly Rural
"Cherokee, Georgia",241910,79670,93.5694728,Mostly Urban
"Clarke, Georgia",124602,36889,84.1627139,Mostly Urban
"Clay, Georgia",3001,25000,69.1347754,Rural
"Clayton, Georgia",278666,45778,82.290915,Mostly Urban
"Clinch, Georgia",6743,25236,53.5971223,Mostly Rural
"Cobb, Georgia",745057,75153,91.846246,Mostly Urban
"Coffee, Georgia",42961,38266,67.449993,Mostly Rural
"Colquitt, Georgia",45606,35472,73.6958501,Mostly Rural
"Columbia, Georgia",147295,76938,83.7169086,Mostly Urban
"Cook, Georgia",17184,38408,68.7630355,Mostly Rural
"Coweta, Georgia",140516,70717,86.9786388,Mostly Urban
"Crawford, Georgia",12344,43257,71.8352383,Rural
"Crisp, Georgia",22846,35096,64.0292952,Mostly Urban
"Dade, Georgia",16227,44471,77.3970346,Mostly Rural
"Dawson, Georgia",23861,65805,87.5100448,Mostly Rural
"Decatur, Georgia",26833,39148,55.8751108,Mostly Rural
"DeKalb, Georgia",743187,59280,87.0163488,Mostly Urban
"Dodge, Georgia",20919,35757,57.6553158,Mostly Rural
"Dooly, Georgia",13905,35629,62.9500103,Mostly Rural
"Dougherty, Georgia",91049,37633,75.9833237,Mostly Urban
"Douglas, Georgia",141840,62147,87.867587,Mostly Urban
"Early, Georgia",10348,31567,57.6678099,Mostly Rural
"Echols, Georgia",3994,34447,47.787043,Rural
"Effingham, Georgia",58689,65153,87.2272927,Mostly Rural
"Elbert, Georgia",19212,37943,61.2735282,Mostly Rural
"Emanuel, Georgia",22499,34946,69.5900858,Mostly Rural
"Evans, Georgia",10727,39701,71.4927609,Mostly Rural
"Fannin, Georgia",24925,45647,82.7358761,Rural
"Fayette, Georgia",111369,87272,91.8874047,Mostly Urban
