# name: clipboard data
# source: College Board
# importDate: 4/7/2024&comma; 8:16 PM
# description: 1000 records of students' GPAs (high school and first year) plus their SAT verbal and math scores (out of 800; this was in the 20th century...)
# attribute -- name: HSGPA, description: high-school GPA, editable: true
# attribute -- name: FYGPA, description: first-year college GPA, editable: true
# attribute -- name: gender, type: categorical, editable: true
# attribute -- name: verbal, description: SAT verbal (old! Out of 800), editable: true
# attribute -- name: math, description: SAT math (old! Out of 800), editable: true
HSGPA,FYGPA,gender,verbal,math
4,3.82,M,540,710
4,3.6,F,530,540
3.75,1.84,F,450,460
3.5,3.3,M,550,680
3.8,3.7,M,630,660
3,2.89,M,510,590
2.3,2.38,M,430,390
3.75,2.97,F,500,490
4,3.37,F,510,500
3.75,3.18,M,570,640
3,1.33,F,420,440
4,3,M,570,640
4,3.75,M,580,660
2.6,2.24,M,400,570
2.75,2.44,F,490,440
2.5,2.72,M,520,730
2.5,1.69,M,620,580
3.75,3.19,F,520,590
3.5,3.1,F,350,500
4,2.71,F,540,590
4,3.45,F,670,700
3.25,3.36,F,520,450
3.2,1,F,450,530
3.75,3.08,M,510,730
2.75,3.16,F,530,510
3.75,3.66,M,670,660
4,3.82,F,590,630
3.75,3.94,M,640,700
3.75,3.79,F,580,580
3.25,2.91,F,460,570
3,2.33,M,390,560
3.5,3.06,F,450,550
3,1.91,M,480,540
3,2.47,F,410,580
3.5,2.96,F,540,600
3.67,2.13,M,540,550
2.4,1.98,F,380,320
3.5,3.64,F,570,660
2,0.6,F,440,590
3,2.39,F,350,520
3.5,1.95,M,600,530
4,3.37,M,530,620
4,3.02,F,410,520
3,1.03,M,440,440
4,3.42,F,510,540
4,3.31,F,540,690
3.5,2.31,M,680,690
4,2.61,M,560,670
2,0,M,410,490
3.7,3.24,M,620,710
4,3.48,F,550,570
2.8,2.26,F,340,370
3.25,2.4,F,490,430
3.75,3.76,F,490,620
2.75,1.14,F,490,610
2.25,1.47,M,420,650
3,2,M,490,480
2.25,1.13,F,570,450
2.5,1.7,F,430,470
2,1.14,M,400,460
3.2,2.54,M,490,540
2.5,1.64,M,560,460
2.5,2.95,M,380,500
3,3.17,M,580,640
4,1.12,F,410,470
2.5,1.72,F,420,510
2.3,1.91,M,530,510
2.9,3,F,530,410
2.75,3.2,F,530,590
3,3.25,M,620,690
3.2,2.26,F,590,690
3,2.73,F,450,450
3.4,2.47,M,580,570
4,3.19,F,620,570
3.5,1.38,F,370,550
3.25,2.8,F,530,560
3.4,2.52,M,500,630
2.75,2.53,F,450,630
2,2.24,F,350,410
2.25,1.43,F,350,320
2.5,2.06,F,440,410
3.5,3.52,F,520,530
2.25,1.58,M,410,430
2.2,0.82,F,320,380
2.5,2.21,M,650,640
2,1.18,M,500,480
2.5,3.64,M,580,570
2.7,2.37,M,420,500
2.25,1.18,M,390,430
4,3.19,M,530,700
3,1.59,M,490,540
3.75,3.14,M,520,660
2.75,3.63,M,510,560
3,3.13,M,580,570
4,3.09,M,560,640
2.75,2.21,M,400,580
4,2.86,F,630,560
2.67,1.16,M,480,530
4,3.89,F,530,620
4,3.89,F,730,600
3,1.45,M,470,410
3,2.69,M,570,490
2.6,2.27,F,440,560
3.33,2.25,F,490,540
4,3.36,F,620,570
3,2.32,M,500,680
4,2.91,F,610,490
4,3.77,F,640,590
3.8,3.04,M,480,640
2.75,1.44,M,360,530
3.8,2.07,F,420,600
3.25,2.69,M,540,610
3.75,2.67,F,490,510
3.5,1.97,M,540,510
2.25,1.08,M,430,490
2,0.92,M,310,460
3.5,1.7,F,390,330
3.25,3,F,550,590
3.75,3.34,F,530,570
3.75,1.69,M,470,450
4,3.37,M,690,610
2.75,1.52,F,550,380
3.75,2.73,M,440,550
3.25,1.91,F,530,500
3.7,2.98,F,680,620
3.1,2.33,F,390,350
3,1.79,M,400,450
3.75,3.48,M,440,540
3,1.63,F,520,520
3,2.33,F,590,490
3.75,3.35,F,630,540
4,3.43,M,620,710
2.3,1.71,M,480,410
3.75,3.19,M,520,520
2.5,1.69,M,430,500
4,3.08,M,470,640
3,1.43,F,330,320
3.25,2.79,F,670,540
3.5,1.7,F,510,410
4,3.23,F,430,520
3.5,2.12,F,400,420
4,3.67,M,500,580
4,3.94,F,760,570
3.5,1.4,F,470,500
3.4,1.9,F,450,490
3.6,1.56,F,410,380
4,1.85,M,560,540
3,3,M,570,580
3.4,2.37,M,360,520
3.75,2.31,M,380,500
4,3.77,M,590,660
3.8,2.35,F,400,510
4,3.79,M,580,620
3.75,2.54,F,520,520
3,2.19,F,640,530
3,2.36,F,420,470
2.2,2.05,M,410,520
3.25,2.19,F,380,490
3.25,1.8,F,500,550
2.8,3.23,F,660,520
3.3,0.48,F,410,590
2.1,2.02,M,460,620
3.4,2.44,F,590,510
2.4,1.77,M,450,490
3.7,3.2,M,460,580
2.7,2.15,F,500,580
3.5,2.6,M,500,600
3.6,3.38,F,580,570
2.5,0.55,M,560,500
4,3.76,M,460,570
3.25,3.06,F,470,480
3.1,1.7,F,450,510
2.1,2.62,M,550,650
2.8,1.65,F,530,560
3.5,1.89,F,510,550
3.1,0.77,F,420,390
2.9,3.24,M,500,650
2.8,2.93,M,460,570
4,3.57,F,690,550
2.8,2.72,F,550,530
3.3,2.4,F,480,530
2.5,2.03,M,520,460
2.7,2.21,M,530,520
2.3,2.15,M,580,600
2.6,1.75,F,500,480
2.75,2.04,F,440,500
2.75,1.15,F,390,510
2.5,1.79,F,450,530
3.8,3.63,F,630,640
2.7,2,F,470,470
3.25,3.13,F,620,560
2.3,2.67,F,440,570
3.2,2.24,M,390,380
2.9,3.04,F,420,420
2.8,3.27,F,480,430
3.4,3.28,M,410,450
2.5,2.56,M,500,590
3.8,2.85,M,480,630
3.3,3.38,F,500,620
3.2,2.84,M,570,620
3.3,3.22,F,470,550
2.6,2.24,M,570,660
3.1,2.08,M,360,560
3.1,2.67,M,420,510
3.2,2.13,F,490,380
3.8,3.55,M,620,750
3.3,1.5,M,420,660
2.8,2.54,M,470,530
3.5,1.19,F,490,580
2.2,2.08,M,450,530
2.75,0,F,390,420
3.25,1.69,M,430,500
3,2.26,M,390,500
3.7,3.13,F,540,560
2.9,1.73,F,470,460
2.7,2.58,F,380,430
2.8,2.09,F,390,630
3.7,3,M,550,700
3,2.04,F,540,610
3.5,2.94,M,650,600
4,2.31,F,440,430
3.75,2.63,M,560,590
3.5,2.79,F,510,610
2.9,1.9,M,400,580
3.5,3,F,470,500
2.8,1.83,F,520,510
2.8,2.33,M,480,540
3.2,3.24,M,500,580
3.2,2.7,M,530,590
2.7,1.5,M,540,440
3,3,M,510,420
2.4,2.34,M,530,590
4,3.44,F,580,660
3,1.88,F,480,600
2.1,2.86,M,570,600
2.75,2.56,F,400,340
2,1.49,M,410,400
2.8,2.5,M,490,570
2.9,1.83,F,490,500
2.5,2.38,M,550,570
3.1,1.82,M,370,400
2.8,2.12,M,430,460
3.1,2.59,M,470,590
3,2.59,M,530,570
3.1,2.02,F,400,500
3.7,2.93,F,450,480
2.9,2.24,F,460,470
2.5,2.19,M,540,540
3.4,1.95,M,410,600
4,3.54,M,640,640
3.75,2.86,F,620,610
3.8,2.17,M,480,560
3.4,2.3,F,460,490
3.5,2.48,M,360,640
3.5,3.02,F,400,480
3.5,3.14,F,460,600
2.7,2.22,M,550,600
2.9,3.27,M,510,360
2.5,2.47,F,420,350
2.8,2.85,F,500,530
4,3.77,F,500,520
2.7,2.91,M,410,500
3.5,2.61,M,500,530
4,3.78,F,500,530
2.9,1.19,M,460,540
3.2,2.37,F,600,620
3.7,3.69,M,490,650
2.7,1.73,M,430,590
2.7,2.48,F,500,470
3,2.35,F,490,600
3.5,1.95,M,520,500
3.2,3.46,F,620,520
2.8,2.27,F,470,560
2.5,2.14,F,410,570
2.5,3.34,M,430,640
3.3,2.42,F,460,480
3.3,3.22,M,520,670
2.4,1.3,M,470,710
3.2,1.79,M,470,610
3,2.8,F,320,540
2.6,2.8,F,450,450
2.4,0.8,M,590,590
3.5,2.45,F,520,400
3.7,2.33,F,460,560
2.7,1.76,M,310,510
3,2.88,F,350,480
3.1,2.52,M,450,570
3.2,1.54,M,540,530
3.7,2.66,F,430,470
3.9,3.16,F,520,500
3.8,1.94,M,490,580
3.1,2.91,F,450,490
2.9,2.37,F,620,510
4,3.67,M,610,640
4,4,M,500,590
2.6,2.94,M,460,530
2.9,1.37,F,390,640
2.75,2.13,M,420,460
3.3,2.68,F,460,570
2.7,2.71,M,400,620
2.4,1.57,M,450,350
2.5,2.38,M,530,560
3.4,1.16,F,670,590
3.9,2.81,F,590,580
3.4,2.52,F,470,580
2.5,1.72,F,390,450
2.9,2.23,F,390,530
3,1.43,M,540,580
2.5,1.54,M,460,520
3.8,3.24,F,590,560
3.6,2.18,M,480,600
2.3,1.77,M,430,510
3.4,2.16,M,480,620
3.5,2.49,F,340,530
4,3.74,F,540,610
2.8,3.29,M,460,570
2.9,1.37,F,360,430
4,3.83,M,530,590
3.7,2.9,F,640,660
2.8,2.2,M,540,580
2.7,2.11,M,570,550
2.5,3.15,F,510,330
3.4,2.65,F,460,530
3,1.98,F,450,430
3.8,2.93,F,550,580
3.7,3.1,F,490,550
3.7,3.34,F,460,500
3.6,2.75,F,490,620
3.4,2.9,F,500,520
4,2.06,M,570,580
3.2,1.87,F,420,400
3.2,2.8,M,550,480
2.6,1.38,F,540,400
3.9,2.37,F,500,620
2.7,0.9,M,290,580
2.5,2.38,M,390,580
2.6,1.62,F,390,380
2.9,1.42,M,430,430
2.8,1.52,F,340,400
3.7,2.65,F,490,570
2.9,1.92,M,380,600
3.3,0.66,F,540,530
3.8,1.85,M,430,680
2.2,2.36,M,490,550
3.3,1.86,M,440,570
2.7,1.35,M,460,440
2.9,2.8,F,470,570
2.8,2.24,M,560,530
3.8,2.17,F,430,510
3.3,3.22,M,570,570
3.1,2.02,F,390,490
2.9,1.52,F,410,520
2.8,2.27,M,330,570
2.6,2.85,F,390,490
2.9,2.62,M,360,590
3.5,2.54,F,420,590
3.8,3.76,F,580,510
2.9,1.71,M,410,570
3.3,1.88,M,410,590
3.3,2.54,F,460,550
3.2,2.25,F,500,570
2.9,1.32,M,390,490
3.5,2.71,F,440,330
3.3,2.67,F,570,590
3.4,2,M,550,570
3.7,3.26,F,440,580
2.9,1.51,F,370,380
2.7,2.33,F,470,480
3.8,2.82,M,530,600
3.8,3.51,F,430,580
3.7,1,M,450,470
3.75,3.27,F,480,490
2.8,0.73,M,490,540
4,3.17,M,490,550
4,2.69,F,470,540
2.7,0.52,F,320,570
2.2,1.77,M,370,500
3.7,2.35,M,400,570
2.9,2.06,M,550,550
3.4,2.23,M,530,570
2.6,1.67,F,470,470
4,3.16,F,580,710
3.9,2.24,M,350,530
3.7,2.71,F,470,460
3.9,3.98,M,520,640
2.8,2.2,M,360,480
2.5,2.88,F,380,470
3.4,3,M,540,570
3.7,1.55,F,410,440
3.9,2,M,450,580
2.47,2.19,M,240,290
3.5,3.86,F,590,620
2.8,1.47,M,450,550
4,3.94,F,590,620
2.4,1.37,M,370,580
3.5,3.08,M,440,590
3.8,1.95,M,540,640
3.8,3.52,F,590,620
3.2,1.74,M,480,550
3.2,3.17,F,440,590
3.5,2.67,F,610,560
2.3,2.14,M,490,550
3,2.54,M,530,520
2.3,1.98,F,550,490
2.3,2.04,F,460,450
2.1,1.7,M,490,570
3.7,1.8,M,530,620
4,4,M,700,740
3.9,4,F,480,520
3,0.61,F,360,410
3.8,3.34,F,490,570
3.7,2.92,F,480,560
3.8,3.62,M,530,620
3.2,3.07,M,660,670
3.4,3,F,410,570
3.2,2.43,M,420,620
3.4,3.11,F,380,450
3.1,1.5,M,430,570
3.7,2.58,F,490,540
3.33,2.24,F,530,400
2.1,1.96,M,400,550
2.5,2.23,M,450,560
2.8,2.24,F,530,510
2.9,2.76,M,430,570
3.1,2.59,F,490,520
2.1,1.68,M,410,520
3.1,2.92,F,380,470
2.8,2.31,M,550,560
3.5,2.56,M,410,570
3.8,2.73,F,390,550
3.4,3.11,F,630,490
2.8,1.83,F,430,440
2.6,2.88,M,470,470
3,3.14,M,390,570
2.6,1.87,M,460,510
3.1,2.27,F,450,520
3.4,2.56,F,510,550
3.1,2.35,M,400,440
3.4,3.02,F,420,550
3.8,2.44,M,500,600
3.7,1.33,M,500,580
3.25,1.13,M,560,520
3.4,3.4,M,540,520
2.7,1.96,F,480,360
3.5,1.96,M,530,490
3.8,3.17,M,480,580
3.2,1.6,F,450,580
3,2.37,F,500,520
3.5,1.43,M,520,530
3.2,2.74,F,620,480
3.2,1.95,M,460,480
3.1,2.42,M,420,500
3.6,3.04,F,480,520
2.5,3,M,510,590
3.5,3.73,F,500,420
3.1,3.17,F,550,480
3,1.57,M,560,630
3.2,1.71,M,520,600
2.5,2.09,M,510,570
2.6,3.4,F,410,490
3.5,2.1,M,330,380
2.6,1.66,F,470,430
3.5,3.16,F,540,490
3.7,2.09,M,550,560
3.7,3.6,F,490,570
2.7,0.85,M,450,570
3.3,1.88,M,570,590
3.5,2.53,M,450,540
3.7,1.82,M,600,600
2.7,1.33,M,410,520
2.56,2.81,F,470,510
1.8,1.49,M,440,430
3.5,2.51,F,490,550
3.1,1.61,F,680,510
2.7,1.65,F,390,410
2.8,1.7,F,330,370
3.6,3.13,F,500,540
3.5,2.6,F,460,580
3.25,1.87,F,350,400
3.2,2.24,M,260,500
2.8,1.6,F,360,550
3.7,2.98,F,510,540
3.9,3.6,F,470,510
3.1,1.43,M,470,500
3.7,3.02,M,440,620
3.1,3.15,M,500,500
3.3,2,M,340,520
2.6,1.57,F,330,460
2.8,1.78,F,380,340
3.6,2.77,F,460,590
3.8,3.25,M,420,560
3.5,3.3,M,590,550
4.5,1.13,M,420,370
3.9,3.17,F,500,530
3.4,2.04,F,410,550
3,1.69,F,420,530
2.5,1.8,M,410,650
3.5,2.29,F,520,620
4,3.41,M,620,670
3.5,2,F,360,380
4,3.11,F,470,560
2.7,2.38,M,380,580
3.3,2.62,M,450,630
3.8,3.71,F,630,630
3.8,3.27,M,440,500
2.5,2.4,M,420,610
2.5,3.25,M,510,630
3.3,1.98,M,570,590
3.5,3.04,M,490,610
4,2.8,M,370,640
4,4,M,620,710
2.5,1.78,M,470,590
3,2.54,M,550,650
2.8,1.92,F,430,420
4,3.48,M,560,740
2.74,1.62,F,520,480
3.5,2.56,M,470,600
3.3,3.35,F,510,500
2.7,2,M,410,660
3,1.97,F,430,420
3,3.21,M,580,510
2.6,0.67,M,470,370
3.5,2.38,M,410,570
2.3,1.86,M,420,500
2.3,2.53,F,500,430
4,1.44,M,550,550
3.5,2.19,M,450,590
2.8,1.44,F,350,420
3.4,2.36,M,430,500
3,2.21,M,480,440
3,2.6,F,400,570
3.25,0.36,M,440,580
3.3,2.47,M,470,610
3.5,2.16,F,430,470
2.7,1.63,F,390,530
2.8,1.83,M,470,570
2.1,2.66,F,340,690
3.3,3.04,F,490,480
2.4,2.54,F,470,450
2.6,2.02,F,430,530
2.2,1.49,M,610,490
3.8,1.13,M,480,550
3.1,2.02,F,370,460
3.7,2.9,F,510,500
2.75,1.81,F,350,600
3.6,4,F,470,670
2,2,M,410,370
2.75,2.54,F,430,420
4,2.65,F,490,480
4,3.43,M,580,770
3.7,2.91,F,470,450
4,3.21,M,470,530
2.5,1.75,M,370,520
2.3,3.12,M,360,360
3,2.09,F,560,580
3.5,2.11,F,470,580
3.3,2.56,M,560,500
3.2,2.56,F,430,540
3,1.24,F,450,480
3,2.8,M,550,600
2.6,2.17,M,550,350
3.4,2.42,F,460,470
3.6,3.56,F,390,510
3.3,3.24,F,500,580
3.6,3.42,F,450,570
3.8,2.53,M,520,660
2.8,2.38,F,470,470
2.4,2.24,M,480,470
2.7,2.12,M,350,530
2.8,2.63,F,460,580
2.5,1.98,F,540,470
3.2,1.69,F,500,500
4,2.47,M,580,590
4,2.34,M,490,600
2.67,2.58,F,430,470
3,2,M,420,520
2.7,1.63,M,460,510
3.5,3.37,F,520,550
2.8,1.64,M,450,460
3.8,2.88,M,620,600
4,3.12,F,580,620
4,2.33,F,570,550
3,2.45,F,600,590
2.5,2.22,M,430,510
3.5,2.17,M,510,650
2.3,2.44,M,370,550
3.1,2.98,M,490,480
2.7,2.29,F,440,540
3.5,2.56,F,440,520
2.5,1.8,F,270,380
3.1,2.43,M,480,550
3.5,2.61,M,410,590
3.1,3.09,F,350,580
2.6,2.53,M,460,540
2.7,2.48,M,520,640
3.5,3.94,M,610,600
3.4,2.86,M,480,640
2.9,2.31,F,580,580
2.6,2.18,M,440,400
3.25,3.07,M,490,570
2.1,1.64,M,400,450
3,2.7,F,520,600
3.5,2.08,M,360,500
4,3.51,F,570,550
4,3.63,F,480,620
3,1.63,M,390,440
4,3.76,F,540,610
2.8,2.96,F,570,470
3.25,2.83,M,400,480
3,1.36,M,350,400
3.8,2.91,M,610,650
3.2,2.65,M,500,570
3,2.56,F,410,520
3,1.89,M,490,680
2.8,2.04,M,500,570
3.25,2.67,M,600,640
3.75,3.29,M,540,720
2.6,1.74,M,410,560
2.8,2.98,M,440,410
2.5,2.28,M,440,550
2.4,1.21,F,500,420
2.5,1.24,M,400,520
3.5,3.47,F,550,540
3.1,2.37,F,470,440
4,3.49,F,380,570
2.7,1.41,M,560,470
4,2.04,F,490,520
3.7,3.49,M,580,600
2.6,1.7,M,510,640
2.5,1.19,M,420,530
3.6,3.63,F,520,490
3.9,2.98,F,480,510
3.4,2.35,M,480,620
3.6,2.38,F,530,520
3.8,2.38,F,570,570
3.2,2.4,M,440,570
2.5,1.92,F,290,600
3.7,2.86,M,540,450
3.25,2.9,M,410,630
3.7,3.44,F,420,590
2.9,1.88,F,530,650
2.8,2.52,F,490,380
4,1.17,M,480,540
2.9,3.16,M,600,650
3.25,1.64,M,450,570
2.75,2.17,F,460,440
2.67,1.62,F,310,410
3,2.37,M,490,600
3,3.19,M,470,430
3,2.29,M,500,500
4,3.41,F,590,690
4,3.24,M,580,610
3.3,2.64,F,480,600
3.5,3.35,M,520,570
2.75,1.87,M,470,500
2.7,1.5,F,450,550
4,2.98,F,370,590
3.1,2.95,M,560,650
2.8,2.2,F,520,520
3.8,3.11,F,650,570
4,3.12,F,420,490
3.3,2.69,F,480,510
4,2.91,F,450,580
2.6,2.67,M,520,620
3.2,2.49,M,510,570
2.5,2.98,M,460,650
3.1,3.06,M,500,720
3.1,2.18,M,520,610
4,3.5,M,520,680
2.8,2.1,F,450,500
3.4,3.8,F,540,500
3.25,1.8,F,500,600
4,2.14,M,410,630
3.3,3.4,F,440,540
2.8,2.66,F,450,480
3.5,2.36,F,410,640
2.9,1.98,M,450,430
3,1.62,M,450,490
3.2,2.03,M,560,530
2.3,1.84,F,540,530
3,2.02,M,500,670
3.5,3.15,M,580,630
2.75,1.54,M,510,350
2.8,2.6,F,480,450
3.8,2.58,F,410,500
3.5,3.11,F,510,610
2.7,1.19,F,390,340
3.5,2.23,F,540,530
2.2,1.78,F,440,530
3,2.24,F,520,440
3.3,2.29,F,530,370
2.9,2.38,M,370,670
2.2,0.95,M,350,480
2.4,2.05,M,450,530
3.1,2.49,F,430,470
3.3,1.12,M,490,590
2.03,1.31,F,370,430
3.3,2.38,F,410,430
3,2.74,F,400,450
3,4,M,480,640
3.8,2.66,M,440,590
3.5,2.96,M,540,600
2.1,1.88,F,630,420
2.7,1.4,M,470,550
3.5,3.31,F,560,520
3.75,3.3,F,500,500
4,3.21,M,640,640
3.25,3.22,F,420,590
2.8,2.28,M,430,480
3.2,2.52,M,430,490
4,2.62,M,520,520
2,2,F,340,500
3.6,2.02,F,440,450
2.4,2.24,F,420,430
4,3.12,F,470,480
2.75,2.28,M,520,520
3,2.13,F,490,590
2.7,1.55,F,380,480
3.7,2.4,F,620,560
2.6,1.59,M,610,450
3,2.94,M,440,550
3.2,2.29,F,550,610
3.5,2.98,M,470,660
3.1,3.66,F,440,440
2.9,0.38,M,410,560
3.7,2.65,F,620,590
3.7,1.95,F,600,680
3.2,3.06,F,440,600
3.7,3.87,F,630,580
2.4,2.64,M,450,580
2.4,2.54,M,430,550
2.5,2.42,M,360,450
3.3,3.44,F,580,530
4,3.91,F,620,680
4,2.46,M,410,610
3.75,2.79,M,580,590
2.7,1.79,F,460,430
4,3.22,F,450,610
2.3,0.57,M,400,410
4,3.48,M,630,680
3.5,2.13,F,530,540
4,3.18,F,570,720
3.75,3.81,M,390,560
2.7,2.49,M,450,660
3,1.87,M,520,670
3.5,2.63,M,550,530
2.2,1.91,M,440,480
3.8,3.1,F,560,450
4,3.12,M,640,620
3.1,2.19,F,460,510
3.6,3.21,M,640,610
2.7,3.4,M,600,660
3.1,2.37,M,520,600
3.75,2.67,F,460,610
3.5,3.59,F,580,580
3.1,1.93,F,340,420
3.8,3.17,F,540,640
2.75,2.04,F,500,330
3.2,1.96,M,590,630
3.7,2.07,F,490,450
2.2,2.35,M,370,420
3.75,3.06,F,550,550
2.9,2.48,M,320,660
3.3,2.58,M,410,680
2.8,2.15,F,470,530
2.7,2.42,F,490,410
3.2,2.09,M,530,680
2.5,2.27,F,550,570
2.7,2.31,M,430,520
3,2.24,F,430,560
3.5,1.92,F,500,530
2,1.73,M,440,410
2.5,3.38,M,640,590
3.8,3.02,F,490,480
3.2,2.29,M,490,550
2.5,1.33,M,430,450
3.3,2.83,M,640,710
3.33,3.34,F,540,570
3.2,1.51,F,400,470
3.2,1.16,F,500,530
3.75,1.94,F,570,640
3.8,1.74,M,490,590
3.2,2.17,M,500,550
3.3,2.28,F,530,620
3.5,2.75,M,540,590
3,2.8,M,510,560
3.8,2.53,F,380,400
3.7,2.43,M,610,650
2.7,1.84,F,440,440
3.7,2.05,M,560,610
3,2.48,M,480,630
3.3,2.75,M,550,670
2.3,3.24,M,610,510
3.6,2.69,M,460,440
3,2.21,M,510,660
3.8,3.49,F,670,700
2.3,2.24,M,490,400
2.9,2.85,M,630,500
2.5,1.62,F,400,500
3.7,3.03,F,530,650
3.6,3.1,F,480,420
2.5,1.59,F,430,430
2.8,2.21,M,460,630
3.3,2.43,M,670,600
3.5,2.46,M,460,600
4,2.96,F,580,580
2.8,2.2,F,430,610
2.8,2.31,M,460,430
3.25,2.35,M,490,490
2.75,2.57,F,590,640
2.8,3.04,M,390,550
3,2.14,F,390,520
4,2.27,F,670,520
3,1.83,F,550,540
3,2.75,M,570,610
2.5,1.87,F,510,520
3.5,3.22,M,520,670
2.5,3.1,M,590,480
2.9,2.29,M,450,640
2.8,2.1,F,480,500
3.5,2.96,M,520,520
2,0.47,F,410,560
3.5,2.88,F,470,480
4,3.83,F,520,700
3.4,1.6,M,490,570
2.5,2.23,M,380,530
2.5,3.07,M,440,500
3.8,2.6,M,560,670
2.75,1.15,M,450,580
3.5,2.88,M,590,670
3.7,3.71,M,530,720
4,3.41,F,530,380
3.5,3.65,F,660,660
2.3,1.65,F,360,350
3.7,2.15,F,570,540
3.5,2.57,F,510,510
4,3.66,F,760,680
4,3.31,M,600,660
3,2.84,M,460,520
2.7,1.83,M,540,500
3.6,3.35,F,550,640
3.3,1.35,M,540,630
3.4,3.1,F,520,430
3.7,3.1,F,510,590
3,2.19,M,490,510
3,3.35,F,410,500
4,3.91,F,570,590
2.7,1.83,M,540,520
2.2,1.29,F,320,380
4,2.55,F,680,740
3.25,2.68,F,490,510
3.5,2.96,F,410,450
3,2.45,F,470,480
3.25,2.7,M,510,540
3,2.24,M,570,590
2.9,2.04,M,360,380
3.67,2.38,M,440,590
2.5,1.79,M,470,550
3,2,M,470,440
3.04,2.24,M,440,540
2.5,1.63,M,430,460
2.3,1.13,F,390,310
2.5,1.73,M,490,480
2.2,1.36,M,600,530
3,2.81,M,500,600
3.1,1.17,F,400,480
3.5,2.48,F,600,590
3.2,1.98,M,610,570
2.8,1.72,M,420,570
3.5,2.69,M,460,560
4,2.98,F,500,560
4,3.4,F,440,570
4,3.48,M,680,730
2.5,2.15,F,430,450
3,2.4,M,540,600
3,2.42,M,490,550
3.7,2.19,F,500,500
3.3,1.5,M,540,540
3.5,3.17,M,560,580
2.3,1.94,M,550,650
2.7,2.38,M,490,440
