# name: clipboard data_1
# source: Florida fish & game
# importDate: 4/8/2024&comma; 7:32 AM
# description: 2563 snook! Snook are game fish caught of both coasts of Florida.
# attribute -- name: coast, editable: true
# attribute -- name: date, type: date, editable: true
# attribute -- name: length, unit: mm, editable: true
# attribute -- name: mass, unit: g, editable: true
coast,date,length,mass
ATLANTIC,2/11/88,615,1843
ATLANTIC,2/11/88,595,1446
ATLANTIC,2/11/88,683,2920
ATLANTIC,2/11/88,732,3175
ATLANTIC,2/11/88,712,3686
ATLANTIC,2/11/88,656,2268
ATLANTIC,2/11/88,600,1587.6
ATLANTIC,2/11/88,472,737
ATLANTIC,2/11/88,525,1021
ATLANTIC,2/11/88,460,680
ATLANTIC,2/11/88,425,539
ATLANTIC,2/11/88,385,454
ATLANTIC,2/11/88,390,454
ATLANTIC,2/11/88,378,369
ATLANTIC,2/11/88,383,397
ATLANTIC,2/11/88,363,340
ATLANTIC,2/11/88,330,284
ATLANTIC,2/11/88,347,284
ATLANTIC,2/11/88,331,255
ATLANTIC,2/11/88,339,284
ATLANTIC,2/11/88,352,312
ATLANTIC,2/11/88,344,284
ATLANTIC,2/11/88,331,284
ATLANTIC,2/11/88,306,198
ATLANTIC,2/11/88,379,340
ATLANTIC,2/11/88,333,255
ATLANTIC,2/11/88,313,227
ATLANTIC,2/11/88,307,227
ATLANTIC,2/11/88,305,198
ATLANTIC,2/11/88,306,198
ATLANTIC,2/11/88,323,227
ATLANTIC,2/11/88,292,170
ATLANTIC,2/11/88,303,198
ATLANTIC,2/11/88,283,170
ATLANTIC,2/11/88,275,142
ATLANTIC,2/11/88,83,28
ATLANTIC,2/11/88,100,28
ATLANTIC,2/11/88,120,28
ATLANTIC,2/11/88,131,28
ATLANTIC,2/24/88,560,1247
ATLANTIC,3/14/88,647,2041
ATLANTIC,3/14/88,651,2041
ATLANTIC,3/21/88,660,2948
ATLANTIC,3/20/88,970,9072
ATLANTIC,3/31/88,1100,14969
ATLANTIC,4/2/88,1040,12928
ATLANTIC,4/6/88,755,3289
ATLANTIC,4/6/88,845,4989.6
ATLANTIC,4/6/88,920,6464
ATLANTIC,4/8/88,782,3969
ATLANTIC,4/8/88,830,5160
ATLANTIC,4/8/88,690,2495
ATLANTIC,4/8/88,955,9979
ATLANTIC,4/11/88,805,4536
ATLANTIC,4/14/88,625,1814
ATLANTIC,4/14/88,789,3856
ATLANTIC,4/14/88,693,2381
ATLANTIC,4/14/88,655,2268
ATLANTIC,4/16/88,601,1588
ATLANTIC,4/21/88,745,4990
ATLANTIC,4/20/88,955,9299
ATLANTIC,4/25/88,785,4536
ATLANTIC,4/29/88,1105,14288
ATLANTIC,5/2/88,887,5897
ATLANTIC,5/3/88,856,6350
ATLANTIC,5/5/88,882,6124
ATLANTIC,5/5/88,934,9526
ATLANTIC,5/15/88,1070,13608
ATLANTIC,5/13/88,866,8165
ATLANTIC,5/17/88,866,5670
ATLANTIC,5/18/88,450,794
ATLANTIC,5/18/88,406,539
ATLANTIC,5/20/88,1003,9979
ATLANTIC,5/26/88,823,5443
ATLANTIC,5/26/88,723,3515
ATLANTIC,5/28/88,951,10206
ATLANTIC,5/28/88,847,5897
ATLANTIC,5/31/88,823,5160
ATLANTIC,5/27/88,683,2268
ATLANTIC,7/13/88,911,5868
ATLANTIC,7/21/88,753,4054
ATLANTIC,7/21/88,691,3402
ATLANTIC,7/21/88,692,2892
ATLANTIC,7/21/88,902,7002
ATLANTIC,8/1/88,991,8732
ATLANTIC,8/1/88,1040,9809
ATLANTIC,8/8/88,624,1956
ATLANTIC,8/8/88,696,2892
ATLANTIC,8/12/88,170,56
ATLANTIC,8/12/88,264,142
ATLANTIC,8/12/88,305,198
ATLANTIC,8/11/88,824,4564
ATLANTIC,8/19/88,335,340
ATLANTIC,8/19/88,320,312
ATLANTIC,8/19/88,280,198
ATLANTIC,8/19/88,272,198
ATLANTIC,8/19/88,245,170
ATLANTIC,8/19/88,251,142
ATLANTIC,8/19/88,234,142
ATLANTIC,8/19/88,233,142
ATLANTIC,8/19/88,235,142
ATLANTIC,8/19/88,221,113
ATLANTIC,8/19/88,231,113
ATLANTIC,8/19/88,223,113
ATLANTIC,8/19/88,204,85
ATLANTIC,8/19/88,208,85
ATLANTIC,8/19/88,207,85
ATLANTIC,8/19/88,210,85
ATLANTIC,8/19/88,202,85
ATLANTIC,8/19/88,199,85
ATLANTIC,8/19/88,182,85
ATLANTIC,8/19/88,198,57
ATLANTIC,8/19/88,178,57
ATLANTIC,8/25/88,404,482
ATLANTIC,9/2/88,951,7711
ATLANTIC,9/12/88,836,4763
ATLANTIC,9/15/88,1117,14515
ATLANTIC,9/15/88,803,4990
ATLANTIC,9/19/88,1010,10886
ATLANTIC,9/19/88,380,510
ATLANTIC,9/19/88,417,567
ATLANTIC,9/19/88,374,482
ATLANTIC,9/19/88,384,454
ATLANTIC,9/19/88,375,425
ATLANTIC,9/19/88,345,340
ATLANTIC,9/19/88,295,227
ATLANTIC,9/19/88,302,255
ATLANTIC,9/19/88,341,312
ATLANTIC,9/19/88,286,227
ATLANTIC,9/19/88,283,227
ATLANTIC,9/19/88,280,198
ATLANTIC,9/19/88,269,198
ATLANTIC,9/19/88,282,198
ATLANTIC,9/19/88,265,170
ATLANTIC,9/19/88,254,142
ATLANTIC,9/19/88,251,142
ATLANTIC,9/19/88,221,113
ATLANTIC,9/19/88,215,85
ATLANTIC,9/19/88,217,85
ATLANTIC,9/19/88,157,28
ATLANTIC,9/19/88,151,28
ATLANTIC,9/19/88,126,28
ATLANTIC,9/20/88,822,4990
ATLANTIC,9/22/88,823,5443
ATLANTIC,9/26/88,936,8165
ATLANTIC,10/18/88,782,4763
ATLANTIC,10/18/88,433,652
ATLANTIC,10/18/88,453,794
ATLANTIC,10/18/88,459,907
ATLANTIC,10/18/88,524,1304
ATLANTIC,10/18/88,693,3317
ATLANTIC,1/14/89,435,595
ATLANTIC,1/14/89,466,794
ATLANTIC,1/14/89,466,822
ATLANTIC,1/23/89,757,4196
ATLANTIC,1/23/89,664,2495
ATLANTIC,1/23/89,635,2240
ATLANTIC,1/23/89,605,2013
ATLANTIC,1/23/89,582,1673
ATLANTIC,1/23/89,552,1474
ATLANTIC,1/23/89,578,1644
ATLANTIC,1/23/89,491,936
ATLANTIC,1/23/89,494,936
ATLANTIC,1/23/89,486,879
ATLANTIC,1/23/89,478,879
ATLANTIC,1/23/89,485,936
ATLANTIC,1/23/89,452,765
ATLANTIC,1/23/89,436,680
ATLANTIC,1/23/89,420,567
ATLANTIC,1/23/89,395,510
ATLANTIC,1/23/89,395,454
ATLANTIC,1/23/89,345,340
ATLANTIC,2/3/89,533,1106
ATLANTIC,2/16/89,298,198
ATLANTIC,2/20/89,408,510
ATLANTIC,2/20/89,309,255
ATLANTIC,2/20/89,254,142
ATLANTIC,2/23/89,683,2556
ATLANTIC,2/23/89,400,539
ATLANTIC,2/23/89,295,198
ATLANTIC,2/24/89,484,907
ATLANTIC,3/3/89,558,1361
ATLANTIC,3/3/89,577,1701
ATLANTIC,3/3/89,538,1332
ATLANTIC,3/3/89,513,1077
ATLANTIC,3/3/89,483,907
ATLANTIC,3/3/89,449,652
ATLANTIC,3/3/89,434,624
ATLANTIC,3/3/89,412,510
ATLANTIC,3/3/89,381,425
ATLANTIC,3/3/89,390,482
ATLANTIC,3/3/89,374,397
ATLANTIC,3/3/89,430,595
ATLANTIC,3/3/89,370,397
ATLANTIC,3/3/89,365,369
ATLANTIC,3/3/89,365,369
ATLANTIC,3/3/89,372,369
ATLANTIC,3/3/89,339,312
ATLANTIC,3/3/89,348,312
ATLANTIC,3/3/89,301,227
ATLANTIC,3/3/89,292,198
ATLANTIC,3/3/89,279,198
ATLANTIC,3/3/89,268,170
ATLANTIC,3/3/89,268,170
ATLANTIC,3/3/89,257,142
ATLANTIC,3/3/89,245,113
ATLANTIC,3/9/89,540,1247
ATLANTIC,3/9/89,424,567
ATLANTIC,3/14/89,555,1474
ATLANTIC,3/20/89,959,8165
ATLANTIC,3/28/89,365,369
ATLANTIC,4/3/89,829,7711
ATLANTIC,4/3/89,798,4990
ATLANTIC,4/3/89,717,4536
ATLANTIC,4/3/89,860,8165
ATLANTIC,4/5/89,337,284
ATLANTIC,4/6/89,881,6379
ATLANTIC,4/10/89,605,1871
ATLANTIC,4/10/89,466,737
ATLANTIC,4/10/89,342,312
ATLANTIC,4/10/89,331,312
ATLANTIC,4/10/89,293,198
ATLANTIC,4/10/89,235,113
ATLANTIC,4/10/89,225,85
ATLANTIC,4/12/89,325,284
ATLANTIC,4/12/89,277,170
ATLANTIC,4/12/89,281,170
ATLANTIC,4/12/89,195,57
ATLANTIC,4/12/89,180,28
ATLANTIC,4/12/89,182,28
ATLANTIC,4/12/89,175,28
ATLANTIC,4/10/89,1010,10886
ATLANTIC,4/14/89,463,822
ATLANTIC,4/14/89,408,567
ATLANTIC,4/14/89,360,397
ATLANTIC,4/14/89,331,284
ATLANTIC,4/14/89,270,170
ATLANTIC,4/14/89,239,113
ATLANTIC,4/16/89,1015,11340
ATLANTIC,4/17/89,947,9185
ATLANTIC,4/17/89,702,3147
ATLANTIC,4/18/89,1028,12247
ATLANTIC,4/19/89,762,3742
ATLANTIC,4/21/89,1145,16075
ATLANTIC,4/21/89,971,9979
ATLANTIC,4/24/89,303,227
ATLANTIC,4/21/89,616,2013
ATLANTIC,4/21/89,500,1106
ATLANTIC,4/21/89,468,850
ATLANTIC,4/21/89,466,822
ATLANTIC,4/21/89,462,822
ATLANTIC,4/21/89,375,425
ATLANTIC,4/24/89,947,10206
ATLANTIC,4/25/89,809,4990
ATLANTIC,4/27/89,233,113
ATLANTIC,4/27/89,226,113
ATLANTIC,4/27/89,217,113
ATLANTIC,4/27/89,220,85
ATLANTIC,4/27/89,221,85
ATLANTIC,4/27/89,222,85
ATLANTIC,4/27/89,222,85
ATLANTIC,5/1/89,843,6265
ATLANTIC,5/1/89,356,397
ATLANTIC,5/1/89,284,227
ATLANTIC,5/1/89,174,28
ATLANTIC,5/1/89,180,57
ATLANTIC,5/1/89,205,85
ATLANTIC,5/1/89,269,170
ATLANTIC,5/1/89,236,113
ATLANTIC,5/1/89,230,113
ATLANTIC,5/1/89,225,85
ATLANTIC,5/1/89,206,85
ATLANTIC,5/1/89,723,3515
ATLANTIC,5/4/89,911,9979
ATLANTIC,5/4/89,972,10886
ATLANTIC,5/4/89,458,794
ATLANTIC,5/4/89,386,397
ATLANTIC,5/4/89,349,312
ATLANTIC,5/5/89,1057,11794
ATLANTIC,5/5/89,718,3288
ATLANTIC,5/5/89,838,340
ATLANTIC,5/8/89,889,5500
ATLANTIC,5/8/89,789,4564
ATLANTIC,5/8/89,788,4649
ATLANTIC,5/12/89,1005,10546
ATLANTIC,5/16/89,940,9072
ATLANTIC,5/16/89,901,6350
ATLANTIC,5/18/89,415,567
ATLANTIC,5/22/89,842,6577
ATLANTIC,5/22/89,759,3855
ATLANTIC,5/22/89,829,5954
ATLANTIC,5/22/89,1010,11567
ATLANTIC,5/30/89,937,9894
ATLANTIC,5/31/89,756,4309
ATLANTIC,6/1/89,502,964
ATLANTIC,6/1/89,504,1134
ATLANTIC,6/1/89,498,1020
ATLANTIC,6/1/89,482,879
ATLANTIC,6/1/89,453,737
ATLANTIC,6/2/89,858,6265
ATLANTIC,6/14/89,581,1531
ATLANTIC,6/21/89,321,255
ATLANTIC,6/21/89,276,142
ATLANTIC,6/21/89,191,57
ATLANTIC,6/21/89,784,4734
ATLANTIC,6/21/89,794,4678
ATLANTIC,6/21/89,826,4961
ATLANTIC,6/21/89,780,4564
ATLANTIC,6/21/89,759,4309
ATLANTIC,6/22/89,780,4763
ATLANTIC,6/23/89,714,3714
ATLANTIC,6/23/89,473,907
ATLANTIC,6/23/89,453,652
ATLANTIC,6/27/89,943,9754
ATLANTIC,6/27/89,844,5868
ATLANTIC,6/27/89,845,6492
ATLANTIC,6/27/89,835,5925
ATLANTIC,6/27/89,842,5897
ATLANTIC,6/29/89,825,6095
ATLANTIC,6/29/89,855,7513
ATLANTIC,7/5/89,933,7711
ATLANTIC,7/5/89,690,2835
ATLANTIC,7/5/89,610,1644
ATLANTIC,7/6/89,990,9979
ATLANTIC,7/6/89,910,8817
ATLANTIC,7/7/89,415,510
ATLANTIC,7/7/89,372,397
ATLANTIC,7/13/89,735,3430
ATLANTIC,7/13/89,816,4819
ATLANTIC,7/13/89,839,6407
ATLANTIC,7/13/89,847,5840
ATLANTIC,7/13/89,909,6974
ATLANTIC,7/19/89,878,6095
ATLANTIC,7/19/89,788,4366
ATLANTIC,7/19/89,813,4848
ATLANTIC,7/19/89,860,5500
ATLANTIC,7/19/89,810,4479
ATLANTIC,7/19/89,752,3912
ATLANTIC,7/20/89,821,5330
ATLANTIC,7/20/89,842,5727
ATLANTIC,7/20/89,821,5387
ATLANTIC,7/20/89,821,5557
ATLANTIC,7/20/89,817,5557
ATLANTIC,7/20/89,767,4706
ATLANTIC,7/20/89,816,5188
ATLANTIC,7/24/89,1024,9866
ATLANTIC,7/25/89,956,8222
ATLANTIC,7/25/89,817,4621
ATLANTIC,7/27/89,817,4876
ATLANTIC,7/27/89,530,1134
ATLANTIC,7/27/89,465,850
ATLANTIC,7/27/89,440,709
ATLANTIC,7/27/89,385,454
ATLANTIC,7/27/89,402,539
ATLANTIC,7/27/89,193,57
ATLANTIC,7/28/89,863,6039
ATLANTIC,7/28/89,823,4876
ATLANTIC,7/28/89,810,5046
ATLANTIC,8/1/89,1020,11794
ATLANTIC,8/1/89,822,5358
ATLANTIC,8/1/89,751,3629
ATLANTIC,8/9/89,954,7173
ATLANTIC,8/11/89,770,4734
ATLANTIC,8/11/89,809,4743
ATLANTIC,8/14/89,677,2665
ATLANTIC,8/23/89,368,425
ATLANTIC,8/23/89,368,396
ATLANTIC,8/23/89,343,311
ATLANTIC,8/23/89,333,284
ATLANTIC,8/23/89,295,227
ATLANTIC,8/23/89,245,113
ATLANTIC,8/23/89,245,113
ATLANTIC,8/23/89,210,85
ATLANTIC,8/23/89,238,113
ATLANTIC,8/23/89,225,85
ATLANTIC,8/25/89,567,1531
ATLANTIC,8/25/89,550,1304
ATLANTIC,8/25/89,601,1814
ATLANTIC,8/25/89,587,1729
ATLANTIC,8/25/89,562,1474
ATLANTIC,8/25/89,562,922
ATLANTIC,8/25/89,608,2041
ATLANTIC,8/25/89,454,737
ATLANTIC,8/25/89,465,737
ATLANTIC,8/25/89,848,5273
ATLANTIC,8/29/89,503,1021
ATLANTIC,8/29/89,470,794
ATLANTIC,8/29/89,351,369
ATLANTIC,8/29/89,315,227
ATLANTIC,8/30/89,269,170
ATLANTIC,8/30/89,215,85
ATLANTIC,8/30/89,212,85
ATLANTIC,8/30/89,169,57
ATLANTIC,9/5/89,835,4763
ATLANTIC,9/5/89,1069,11794
ATLANTIC,9/5/89,474,822
ATLANTIC,9/5/89,471,879
ATLANTIC,9/5/89,399,510
ATLANTIC,9/5/89,377,454
ATLANTIC,9/5/89,336,312
ATLANTIC,9/5/89,301,227
ATLANTIC,9/5/89,286,198
ATLANTIC,9/6/89,984,9979
ATLANTIC,9/6/89,773,4082
ATLANTIC,9/8/89,775,4309
ATLANTIC,9/8/89,1068,11680
ATLANTIC,9/7/89,812,4536
ATLANTIC,9/11/89,1104,12701
ATLANTIC,9/11/89,947,7711
ATLANTIC,9/9/89,1042,9072
ATLANTIC,9/9/89,917,7711
ATLANTIC,9/9/89,1115,13154
ATLANTIC,9/14/89,1017,10659
ATLANTIC,9/13/89,460,822
ATLANTIC,9/13/89,506,1077
ATLANTIC,9/13/89,528,1134
ATLANTIC,9/13/89,527,1219
ATLANTIC,9/13/89,547,1361
ATLANTIC,9/14/89,1070,12020
ATLANTIC,9/14/89,1135,13608
ATLANTIC,9/14/89,835,4989
ATLANTIC,9/14/89,1111,11794
ATLANTIC,9/15/89,1065,10886
ATLANTIC,9/17/89,1000,9526
ATLANTIC,9/17/89,1090,13608
ATLANTIC,9/20/89,836,5443
ATLANTIC,9/15/89,924,7938
ATLANTIC,9/21/89,946,6889
ATLANTIC,9/24/89,802,4763
ATLANTIC,9/22/89,290,198
ATLANTIC,9/22/89,290,198
ATLANTIC,9/22/89,282,198
ATLANTIC,9/22/89,269,170
ATLANTIC,9/22/89,262,142
ATLANTIC,9/22/89,259,142
ATLANTIC,9/22/89,252,142
ATLANTIC,9/22/89,242,113
ATLANTIC,9/22/89,220,85
ATLANTIC,9/26/89,887,6804
ATLANTIC,4/15/89,1100,17010
ATLANTIC,9/27/89,1100,12701
ATLANTIC,9/27/89,509,1134
ATLANTIC,9/30/89,1012,9979
ATLANTIC,9/29/89,1052,13608
ATLANTIC,9/29/89,1090,13608
ATLANTIC,9/29/89,1037,13608
ATLANTIC,9/29/89,827,4536
ATLANTIC,10/4/89,631,1843
ATLANTIC,10/4/89,369,369
ATLANTIC,10/3/89,460,794
ATLANTIC,10/3/89,439,680
ATLANTIC,10/3/89,435,680
ATLANTIC,10/3/89,415,567
ATLANTIC,10/11/89,451,709
ATLANTIC,10/11/89,436,624
ATLANTIC,10/11/89,322,255
ATLANTIC,10/11/89,410,510
ATLANTIC,10/11/89,288,198
ATLANTIC,10/11/89,225,113.4
ATLANTIC,10/11/89,216,85
ATLANTIC,10/11/89,185,57
ATLANTIC,10/11/89,172,57
ATLANTIC,10/11/89,166,57
ATLANTIC,10/15/89,1047,11794
ATLANTIC,10/16/89,243,113
ATLANTIC,10/16/89,200,85
ATLANTIC,10/17/89,436,624
ATLANTIC,10/21/89,554,1350
ATLANTIC,10/21/89,638,1850
ATLANTIC,10/21/89,598,1786
ATLANTIC,10/21/89,591,1588
ATLANTIC,10/21/89,567,1446
ATLANTIC,10/21/89,521,1191
ATLANTIC,10/21/89,517,1247
ATLANTIC,10/21/89,492,935
ATLANTIC,10/21/89,463,737
ATLANTIC,10/21/89,451,652
ATLANTIC,10/21/89,446,680
ATLANTIC,10/21/89,427,567
ATLANTIC,10/21/89,410,539
ATLANTIC,10/21/89,401,510
ATLANTIC,10/21/89,374,397
ATLANTIC,10/21/89,346,340
ATLANTIC,10/25/89,777,4082
ATLANTIC,10/27/89,547,1361
ATLANTIC,10/27/89,530,1106
ATLANTIC,10/27/89,522,1191
ATLANTIC,10/27/89,490,851
ATLANTIC,10/27/89,467,822
ATLANTIC,10/27/89,450,624
ATLANTIC,10/27/89,445,624
ATLANTIC,10/31/89,1022,10206
ATLANTIC,11/2/89,582,1701
ATLANTIC,11/2/89,537,1276
ATLANTIC,11/2/89,517,1247
ATLANTIC,11/2/89,495,964
ATLANTIC,11/2/89,491,992
ATLANTIC,11/2/89,407,567
ATLANTIC,11/2/89,406,539
ATLANTIC,11/2/89,379,454
ATLANTIC,11/2/89,360,425
ATLANTIC,11/2/89,316,284
ATLANTIC,11/2/89,311,255
ATLANTIC,11/3/89,785,4706
ATLANTIC,11/3/89,633,2126
ATLANTIC,11/3/89,472,907
ATLANTIC,11/3/89,477,879
ATLANTIC,11/3/89,485,851
ATLANTIC,11/3/89,470,907
ATLANTIC,11/3/89,450,765
ATLANTIC,11/3/89,412,595
ATLANTIC,11/3/89,410,567
ATLANTIC,11/3/89,425,567
ATLANTIC,11/3/89,388,454
ATLANTIC,11/3/89,337,369
ATLANTIC,11/3/89,324,284
ATLANTIC,11/3/89,282,198
ATLANTIC,11/3/89,251,142
ATLANTIC,11/3/89,230,113
ATLANTIC,11/3/89,210,85
ATLANTIC,11/14/89,558,1474
ATLANTIC,11/14/89,432,680
ATLANTIC,11/14/89,423,624
ATLANTIC,11/14/89,382,454
ATLANTIC,11/14/89,225,113
ATLANTIC,11/14/89,222,113
ATLANTIC,11/14/89,204,85
ATLANTIC,11/14/89,210,85
ATLANTIC,11/30/89,1009,9866
ATLANTIC,12/19/89,870,5670
ATLANTIC,12/27/89,775,4536
ATLANTIC,12/27/89,761,4253
ATLANTIC,12/27/89,637,2608
ATLANTIC,12/27/89,565,1474
ATLANTIC,12/27/89,391,482
ATLANTIC,1/3/90,465,851
ATLANTIC,10/1/89,502,964
ATLANTIC,10/1/89,551,1418
ATLANTIC,10/1/89,497,1191
ATLANTIC,10/1/89,500,1021
ATLANTIC,10/1/89,525,879
ATLANTIC,10/1/89,425,680
ATLANTIC,6/1/89,738,3487
ATLANTIC,2/8/90,480,765
ATLANTIC,11/1/89,541,1441
ATLANTIC,11/1/89,480,992
ATLANTIC,2/28/90,379,397
ATLANTIC,2/28/90,480,879
ATLANTIC,2/28/90,495,992
ATLANTIC,2/28/90,303,227
ATLANTIC,3/5/90,810,5499
ATLANTIC,3/5/90,1085,10886
ATLANTIC,3/6/89,746,3857
ATLANTIC,3/6/89,780,4649
ATLANTIC,3/6/89,774,4424
ATLANTIC,3/14/89,445,794
ATLANTIC,3/14/89,371,397
ATLANTIC,3/14/89,508,1134
ATLANTIC,3/14/89,378,454
ATLANTIC,3/14/89,365,397
ATLANTIC,3/14/90,348,369
ATLANTIC,3/14/90,344,312
ATLANTIC,3/19/90,842,6124
ATLANTIC,3/19/90,893,8618
ATLANTIC,3/26/89,851,6804
ATLANTIC,3/26/90,763,4536
ATLANTIC,3/29/90,1045,11340
ATLANTIC,5/7/90,1070,14061
ATLANTIC,5/8/90,830,5897
ATLANTIC,5/8/90,810,4989
ATLANTIC,5/7/90,300,255
ATLANTIC,5/7/90,281,227
ATLANTIC,5/7/90,267,170
ATLANTIC,5/7/90,245,142
ATLANTIC,5/7/90,215,113
ATLANTIC,5/7/90,216,85
ATLANTIC,5/7/90,205,85
ATLANTIC,5/7/90,200,85
ATLANTIC,5/7/90,195,85
ATLANTIC,5/7/90,190,56.7
ATLANTIC,5/7/90,185,57
ATLANTIC,5/7/90,180,57
ATLANTIC,5/8/90,472,794
ATLANTIC,5/8/90,467,709
ATLANTIC,5/10/90,738,3856
ATLANTIC,5/14/90,960,9979
ATLANTIC,5/14/90,950,10206
ATLANTIC,5/15/90,640,2495
ATLANTIC,5/14/90,242,113
ATLANTIC,5/23/90,823,6350
ATLANTIC,5/23/90,927,8165
ATLANTIC,5/23/90,885,7258
ATLANTIC,5/23/90,845,4989
ATLANTIC,5/23/90,848,5897
ATLANTIC,5/23/90,773,4309
ATLANTIC,5/23/90,1000,12928
ATLANTIC,5/25/90,550,1247
ATLANTIC,5/25/90,538,1219
ATLANTIC,5/25/90,507,1021
ATLANTIC,5/25/90,514,1077
ATLANTIC,5/25/90,497,964
ATLANTIC,5/25/90,450,680
ATLANTIC,5/25/90,416,539
ATLANTIC,5/24/90,905,6124
ATLANTIC,5/29/90,930,9979
ATLANTIC,5/29/90,847,6350
ATLANTIC,5/29/90,843,6124
ATLANTIC,5/29/90,965,9526
ATLANTIC,5/29/90,1030,11794
ATLANTIC,5/29/90,1015,11340
ATLANTIC,5/30/90,1020,11794
ATLANTIC,6/10/90,808,4990
ATLANTIC,6/10/90,865,6435
ATLANTIC,6/10/90,814,5358
ATLANTIC,6/10/90,797,5046
ATLANTIC,6/10/90,859,5925
ATLANTIC,6/19/90,873,6379
ATLANTIC,6/20/90,395,482
ATLANTIC,6/20/90,285,198
ATLANTIC,6/20/90,270,170
ATLANTIC,6/20/90,265,170
ATLANTIC,6/20/90,260,142
ATLANTIC,6/20/90,251,142
ATLANTIC,6/20/90,257,142
ATLANTIC,6/20/90,235,113
ATLANTIC,6/20/90,230,113
ATLANTIC,6/20/90,217,85
ATLANTIC,6/20/90,208,85
ATLANTIC,6/20/90,170,57
ATLANTIC,6/21/90,905,7740
ATLANTIC,6/21/90,770,4394
ATLANTIC,6/21/90,912,7711
ATLANTIC,6/21/90,973,9441
ATLANTIC,6/28/90,720,3629
ATLANTIC,6/28/90,865,6350
ATLANTIC,6/28/90,845,6350
ATLANTIC,6/28/90,739,3402
ATLANTIC,6/28/90,752,3629
ATLANTIC,7/3/90,904,7173
ATLANTIC,7/3/90,970,8533
ATLANTIC,7/3/90,792,4649
ATLANTIC,7/3/90,785,4905
ATLANTIC,7/5/90,880,6095
ATLANTIC,7/5/90,747,4309
ATLANTIC,7/5/90,941,8165
ATLANTIC,7/5/90,836,4933
ATLANTIC,7/8/90,439,680
ATLANTIC,7/8/90,586,1758
ATLANTIC,7/8/90,617,1956
ATLANTIC,7/12/90,574,1503
ATLANTIC,7/12/90,525,1134
ATLANTIC,7/13/90,553,1589
ATLANTIC,7/15/90,728,3289
ATLANTIC,7/15/90,514,1021
ATLANTIC,7/15/90,476,879
ATLANTIC,7/16/90,450,737
ATLANTIC,7/16/90,405,425
ATLANTIC,7/16/90,521,1190
ATLANTIC,7/16/90,560,1247
ATLANTIC,7/16/90,991,9781
ATLANTIC,7/16/90,849,6379
ATLANTIC,7/16/90,891,6634
ATLANTIC,7/17/90,928,7825
ATLANTIC,7/17/90,800,5557
ATLANTIC,7/17/90,485,1021
ATLANTIC,7/17/90,610,1956
ATLANTIC,7/19/90,867,5840
ATLANTIC,7/20/90,865,5783
ATLANTIC,7/21/90,945,9015
ATLANTIC,7/24/90,746,3771
ATLANTIC,8/1/90,608,1531
ATLANTIC,8/7/90,985,9100
ATLANTIC,8/8/90,1000,9979
ATLANTIC,8/8/90,540,879
ATLANTIC,8/8/90,884,7598
ATLANTIC,8/8/90,883,6350
ATLANTIC,8/16/90,465,737
ATLANTIC,8/16/90,445,652
ATLANTIC,8/22/90,969,9072
ATLANTIC,8/22/90,933,7201
ATLANTIC,8/22/90,843,5783
ATLANTIC,8/21/90,785,4819
